"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1974 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1975 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1976 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1977 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1978 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1979 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1980 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1981 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1982 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1983 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1984 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1985 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1986 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1987 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1988 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1989 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1990 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1991 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1992 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1993 (Cr$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1994 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1995 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1996 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1997 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1998 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 1999 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2000 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2001 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2002 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2003 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2004 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2005 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2006 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2007 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2008 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2009 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2010 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2011 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2012 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2013 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2014 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2015 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2016 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2017 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2018 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2019 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2020 (R$ mil)","/Agricultura/Culturas Tempor�rias/Arroz/Valor da Produ��o 2021 (R$ mil)"
"Doutor Maur�cio Cardoso","4306734","-27.510300000000","-54.357799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","12","571","3.905","146.545","3.286","31","44","18","48","53","53","44","58","80","125","15","-","2","1","1","1","1","1","3","3","4","4","5","6","4","5","-","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","2","3","2","2","3","14","6","-","2","3","3","3","3","2","1","1","3","4","-","-","-","-","-","-"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16.530","326.666","1.770.480","13.500.000","644.951","4.102","7.633","6.822","6.026","8.915","8.752","5.193","7.056","10.395","20.020","24.080","22.887","18.489","19.454","23.080","33.381","33.723","33.527","41.443","45.657","56.556","48.067","67.444","67.196","46.797","72.735","105.485","162.404"
"Encantado","4306809","-29.235099999990","-51.870300000000","282","315","450","504","483","-","229","2.761","2.547","8.750","32.600","220","265","1.038","6.020","62","1.330","1.184","80.000","908","33","22","4","1","1","-","-","-","-","-","-","-","0","0","0","1","0","1","1","1","2","-","-","-","-","-","-","-"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","1.789","4.243","5.392","7.050","14.105","10.958","58.800","181.409","253.512","693.068","2.775.110","6.851","14.954","44.829","158.962","2.420","100.804","357.200","5.148.000","129.065","775","759","1.109","1.125","1.465","2.483","1.708","2.009","2.865","2.580","4.041","1.187","1.648","1.751","1.937","3.605","4.882","5.850","6.517","6.975","6.338","6.641","7.912","7.980","5.762","7.352","4.994","13.920"
"Engenho Velho","4306924","-27.706000000000","-52.914499999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","380","4","8","7","3","3","2","2","2","3","4","5","1","5","5","6","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","20","855","0","35.261","985","8","5","6","6","8","13","13","14","3","7","0","-","3","2","3","4","1","1","-","-","-","-","-","-","-","-","-","-"
"Entre-iju�s","4306932","-28.368600000000","-54.268599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","84","2.729","4.986","308.134","9.184","83","57","22","32","48","22","16","27","56","69","3","-","15","13","20","19","15","19","-","-","-","-","-","-","-","-","-","-"
"Erebango","4306973","-27.854399999990","-52.300500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","27","1.215","3.788","94.230","1.496","16","22","6","12","13","9","10","10","11","12","8","2","11","14","14","17","16","39","65","65","26","17","22","6","42","28","32","56"
"Erechim","4307005","-27.636399999990","-52.269700000000","1.485","4.875","4.045","5.897","1.500","1.575","15.400","16.949","14.885","96.320","199.680","675","1.126","2.394","17.399","244","10.264","9.324","524.681","11.345","92","150","14","12","45","6","5","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ernestina","4307054","-28.497699999990","-52.583599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","99","2.109","507","117.175","2.416","27","29","4","4","5","7","7","9","13","8","5","-","1","1","1","3","2","3","-","-","-","-","-","-","-","-","-","-"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","210","748","1.008","1.166","244","-","1.540","3.315","4.289","15.539","39.936","122","305","666","3.053","44","1.849","3.774","105.782","2.955","24","31","20","20","5","3","5","4","1","8","3","-","5","3","6","1","0","2","1","2","2","2","2","2","2","6","12","10"
"Erval Seco","4307302","-27.544300000000","-53.500500000000","71","945","1.050","522","-","-","5.760","10.080","13.640","29.250","56.980","545","1.265","2.640","16.420","395","8.316","6.056","365.478","4.294","63","78","16","80","135","142","149","149","149","153","197","130","84","84","84","84","27","-","-","-","-","-","-","-","-","-","-","-"
"Esmeralda","4307401","-28.051800000000","-51.193300000000","30","78","90","102","52","160","340","274","2.100","2.432","7.320","28","100","111","1.818","17","737","1.469","57.096","720","7","8","28","19","19","22","22","10","10","5","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esperan�a do Sul","4307450","-27.360299999990","-53.989100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","4","4","2","2","3","3","6","5","-","2","2","-","2","3","-","2","-","-","-","-","-","-","-","-","-"
"Espumoso","4307500","-28.728600000000","-52.846100000000","99","300","375","2.572","705","923","4.725","6.825","11.850","47.790","52.820","50","83","397","881","6","238","236","110.039","1.416","9","24","24","17","59","19","12","12","12","20","16","2","7","6","8","8","9","3","-","-","-","-","-","-","-","-","-","-"
"Esta��o","4307559","-27.913499999990","-52.263500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","13","405","0","18.000","374","4","3","2","2","2","2","2","2","1","1","0","-","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Est�ncia Velha","4307609","-29.653500000000","-51.184300000000","-","-","-","-","-","-","-","105","280","389","950","5","7","-","50","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Esteio","4307708","-29.852000000000","-51.184100000000","240","1.158","1.892","1.831","2.541","1.278","7.224","7.350","20.966","157.343","226.347","427","774","1.953","6.005","415","14.110","62.250","333.058","4.424","49","49","81","93","65","65","328","330","439","607","605","599","448","588","1.260","1.092","1.076","907","1.856","1.624","980","980","910","1.092","2.678","2.646","3.465","5.355"
"Estrela","4307807","-29.501600000000","-51.960500000000","94","156","323","280","238","455","772","2.492","1.682","4.813","66.610","335","115","277","1.933","12","364","3.108","21.715","190","3","11","-","8","7","8","0","0","0","2","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Estrela Velha","4307815","-29.171299999990","-53.163899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","9","4","5","6","7","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Eug�nio de Castro","4307831","-28.531500000000","-54.150599999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","42","1.679","0","226.384","5.690","50","44","22","44","65","20","17","27","48","11","12","-","4","4","0","1","-","-","-","-","-","-","-","-","-","-","-","-"
"Fagundes Varela","4307864","-28.879400000000","-51.701400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","934","1.120","68.640","1.783","17","18","5","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Farroupilha","4307906","-29.222700000000","-51.341900000000","331","510","918","661","1.550","2.976","4.320","4.958","6.335","4.788","29.484","107","141","138","1.254","8","432","3.041","10.395","154","4","3","2","1","2","2","2","2","2","4","4","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Faxinal do Soturno","4308003","-29.578800000000","-53.448399999990","3.279","4.460","4.620","7.927","11.369","16.262","41.440","78.100","221.847","339.465","1.655.000","5.365","16.004","56.122","510.000","5.798","144.144","823.680","6.679.200","61.082","1.356","1.484","1.853","2.020","2.850","3.253","2.905","3.308","4.367","6.902","7.623","4.272","4.532","4.903","6.782","7.562","5.565","5.823","5.748","9.840","8.840","8.538","11.835","12.664","10.427","10.535","15.287","27.715"
"Faxinalzinho","4308052","-27.423800000000","-52.678899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","24","994","3.330","43.253","1.234","10","21","13","19","16","16","13","14","9","30","11","-","30","7","8","3","8","3","1","-","-","-","-","-","-","-","-","-"
"Fazenda Vilanova","4308078","-29.588500000000","-51.821700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","-","-","-","-","-","-","-","-","-","-","-","3","4","-","-","-","-","-","-","-","-","-","-","-","-"
"Feliz","4308102","-29.452700000000","-51.303199999990","340","315","324","756","675","360","4.500","7.476","5.920","32.117","114.000","456","407","763","7.200","32","1.131","10.350","65.859","302","3","4","4","5","8","6","5","5","7","5","6","2","3","4","5","7","7","7","7","-","-","-","-","-","-","-","-","-"
"Flores da Cunha","4308201","-29.026199999990","-51.187500000000","19","378","378","68","456","893","1.296","1.500","2.310","3.400","21.060","102","564","688","9.408","72","3.120","7.770","24.255","74","2","1","0","1","1","2","2","2","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Floriano Peixoto","4308250","-27.861400000000","-52.083799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","20","22","23","24","13","14","3","-","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Fontoura Xavier","4308300","-28.981600000000","-52.344499999990","37","72","95","162","71","140","665","5.362","5.850","31.500","105.300","571","425","631","3.528","58","1.327","3.552","22.050","266","9","12","11","7","10","9","7","9","9","18","8","1","1","2","4","4","2","2","-","-","-","-","-","-","-","-","-","-"
"Formigueiro","4308409","-30.003499999990","-53.495899999990","13.697","22.731","27.977","34.200","76.500","65.424","166.500","418.825","1.259.028","3.120.075","11.505.000","36.995","53.004","141.000","1.101.114","29.490","412.800","2.043.500","11.335.500","205.100","3.848","6.446","7.590","7.733","9.568","10.212","8.699","14.214","20.346","23.425","31.086","10.979","19.988","24.200","33.004","35.621","25.213","23.115","32.332","38.516","40.165","45.415","40.770","53.807","49.500","54.216","69.468","96.027"
"Forquetinha","4308433","-29.379200000000","-52.091700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","1","1","3","1","-","1","1","1","1","0","1","-","-","-","-","-","-","-","-","-","-"
"Fortaleza dos Valos","4308458","-28.798600000000","-53.224899999990","...","...","...","...","...","...","...","...","...","3.375","12.300","75","296","392","2.174","70","1.742","5.002","180.808","1.518","37","76","31","21","19","15","13","15","13","8","2","-","2","2","3","2","1","1","-","-","-","-","-","-","-","-","-","-"
"Frederico Westphalen","4308508","-27.358599999990","-53.395800000000","11","1.788","1.500","1.947","-","-","960","6.898","9.600","29.520","45.650","418","699","1.596","2.720","137","7.470","0","55.543","1.004","15","27","30","16","20","97","142","115","114","374","218","231","231","115","96","45","23","78","11","12","4","3","11","19","17","15","16","32"
"Garibaldi","4308607","-29.259000000000","-51.535200000000","74","120","450","369","125","234","1.393","1.560","1.427","8.569","37.008","31","164","294","2.241","32","1.384","960","94.640","758","4","6","4","0","0","0","-","-","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Garruchos","4308656","-28.194400000000","-55.638300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","162.150","1.222","1.241","295","2.830","3.060","2.953","2.469","1.893","2.410","3.991","3.307","2.247","1.384","992","1.137","1.616","1.997","2.771","3.447","3.865","5.047","3.239","4.533","2.265","1.167","1.405","1.257","2.231"
"Gaurama","4308706","-27.585599999990","-52.091500000000","326","908","1.111","1.200","314","208","3.786","5.989","8.275","52.103","229.680","627","1.174","1.382","11.608","66","2.312","0","56.417","1.576","8","8","11","11","6","5","7","8","4","14","7","-","13","14","24","9","21","22","6","4","5","18","3","-","-","-","-","-"
"General C�mara","4308805","-29.903199999990","-51.761200000000","8.118","11.413","15.031","18.804","22.344","27.420","63.360","168.000","456.000","1.048.218","3.389.400","11.558","37.840","47.294","553.520","6.843","162.400","934.800","3.987.000","141.525","2.675","2.799","3.230","1.230","2.012","2.153","174","1.974","4.116","6.344","7.392","4.541","2.929","4.566","6.297","7.847","5.633","5.186","6.590","7.998","7.488","8.804","9.489","11.636","8.960","11.581","12.239","27.003"
"Gentil","4308854","-28.431600000000","-52.033700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","846","9","8","4","5","6","5","4","8","12","20","6","-","4","6","9","8","8","6","-","-","-","-","-","-","-","-","-","-"
"Get�lio Vargas","4308904","-27.891100000000","-52.229399999990","1.632","2.880","5.463","5.093","2.700","24.750","33.000","38.038","47.320","170.138","429.550","1.326","605","1.566","16.139","121","4.219","4.545","125.640","2.245","25","32","33","12","13","15","15","12","8","9","3","-","1","2","2","2","0","-","-","-","-","-","-","-","-","-","-","-"
"Giru�","4309001","-28.029699999990","-54.351700000000","267","950","481","1.071","1.230","630","5.760","12.012","10.413","39.285","119.988","464","885","2.670","3.588","245","6.180","13.296","1.697.882","63.891","325","338","205","129","113","220","229","250","553","190","145","41","76","68","83","97","79","56","39","-","-","-","-","-","-","-","-","-"
"Glorinha","4309050","-29.879799999990","-50.773400000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.025","96.525","1.170.000","6.623.087","107.484","986","1.245","1.661","1.806","2.459","2.402","1.918","1.722","2.800","5.238","4.239","2.804","2.533","2.818","3.638","3.313","3.975","6.363","8.637","12.558","10.483","11.630","11.907","11.360","10.186","10.990","12.638","17.514"
"Gramado","4309100","-29.373300000000","-50.876199999990","61","292","315","428","624","713","1.164","4.672","7.910","9.675","26.550","92","145","187","324","14","714","1.360","25.795","366","12","11","1","2","2","2","2","1","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gramado dos Loureiros","4309126","-27.442900000000","-52.914900000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","615","5","11","5","5","11","7","7","6","4","11","3","-","3","1","1","2","1","2","1","2","2","-","-","-","-","-","-","-"
"Gramado Xavier","4309159","-29.270600000000","-52.579500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","3.814","30","6","4","4","4","4","3","3","5","4","2","2","2","2","2","2","2","6","6","22","7","8","9","10","8","11","10","23"
"Gravata�","4309209","-29.941299999990","-50.986899999990","2.856","3.600","5.519","8.560","9.728","9.602","29.240","31.050","89.274","486.097","1.258.752","5.989","14.189","36.739","113.240","280","5.310","270.000","1.490.195","32.200","306","356","402","459","610","712","682","682","882","882","882","698","755","1.187","1.790","3.089","2.407","2.067","2.042","2.030","2.450","2.450","2.275","2.730","3.920","4.704","6.160","9.520"
"Guabiju","4309258","-28.542100000000","-51.694800000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","22","681","800","30.316","788","7","7","5","2","2","3","3","3","2","3","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Gua�ba","4309308","-30.108599999990","-51.323300000000","9.785","18.944","20.822","27.360","27.163","47.349","124.600","250.124","620.760","1.837.943","5.577.985","22.369","68.078","172.753","1.630.960","7.171","141.708","630.120","4.954.500","150.444","1.821","2.248","2.324","3.068","4.570","6.590","2.829","3.740","4.408","9.505","7.643","8.063","8.310","9.795","13.830","13.246","13.457","10.157","14.553","9.808","19.286","20.562","23.775","24.145","22.553","25.665","35.759","51.351"
"Guapor�","4309407","-28.839900000000","-51.889499999990","365","594","1.138","1.132","1.116","1.320","6.900","7.840","5.330","31.831","139.860","516","78","2.074","5.904","40","1.960","1.520","76.230","887","9","18","6","10","6","9","10","9","5","10","4","3","5","4","5","3","6","4","1","1","1","1","1","1","2","2","-","-"
"Guarani das Miss�es","4309506","-28.149100000000","-54.562899999990","412","1.440","972","1.044","1.575","1.611","10.779","4.663","6.843","17.334","68.310","273","535","3.883","7.452","190","2.267","20.830","276.692","8.585","48","75","36","67","101","48","13","18","43","50","14","-","12","11","6","5","-","-","-","-","-","120","-","-","-","-","-","-"
"Harmonia","4309555","-29.545600000000","-51.418500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","70","1.526","9.430","92.203","2.113","21","13","3","4","4","3","2","1","2","3","4","1","2","3","3","4","4","4","5","4","4","4","-","-","-","-","-","-"
"Herval","4307104","-32.024000000000","-53.394399999990","336","520","648","6.608","19.546","17.538","53.550","112.955","483.300","1.206.370","3.700.000","14.580","39.000","78.300","485.138","2.079","12.000","567.900","7.136.948","126.000","2.804","5.640","2.631","2.377","4.347","4.941","3.150","661","611","868","979","1.275","390","1.320","1.512","2.077","2.310","2.108","1.814","2.237","2.471","3.426","4.214","4.491","3.888","912","-","5.482"
"Herveiras","4309571","-29.455200000000","-52.655299999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","18","18","8","5","6","9","30","11","12","8","8","1","1","1","-","-","-","-","-","-","-","-","-","-","-"
"Horizontina","4309605","-27.628200000000","-54.305300000000","540","990","1.440","1.176","1.400","603","1.048","1.404","3.198","1.633","53.165","238","421","1.266","4.703","13","1.242","15.060","111.336","3.567","34","32","5","17","19","19","16","20","28","44","9","-","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Hulha Negra","4309654","-31.406700000000","-53.866700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","96.275","703","1.266","954","2.510","2.117","4.080","2.653","5.371","4.297","2.134","2.746","4.200","2.780","1.210","3.053","3.425","4.063","4.584","5.258","4.976","5.573","6.415","6.128","6.231","4.703","2.989","4.116","7.067"
"Humait�","4309704","-27.569099999990","-53.969499999990","180","612","648","770","583","126","6.494","6.318","2.870","5.600","29.512","71","109","195","2.309","23","596","1.029","37.730","454","8","10","2","14","15","15","16","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibarama","4309753","-29.420300000000","-53.129500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","133","6.217","5.403","118.400","6.138","32","23","16","16","17","23","4","7","13","20","4","-","3","5","3","3","3","3","-","8","9","11","16","20","18","17","-","26"
"Ibia��","4309803","-28.056600000000","-51.859900000000","204","254","922","1.284","1.200","-","2.808","3.017","10.290","20.300","51.597","245","446","319","1.899","25","1.050","0","63.750","2.315","20","27","6","18","20","7","7","6","7","5","3","-","3","3","3","4","4","4","2","4","2","-","-","-","-","-","-","-"
"Ibiraiaras","4309902","-28.374099999990","-51.637700000000","144","660","660","856","184","61","871","5.126","9.878","29.508","69.300","280","616","887","13.199","109","4.201","3.568","361.605","5.700","11","12","6","15","15","18","18","18","9","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ibirapuit�","4309951","-28.624700000000","-52.515799999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","19","2.022","0","67.990","3.049","15","29","15","7","17","15","19","20","16","43","40","-","14","16","20","16","14","7","-","-","-","-","-","-","-","-","-","-"
"Ibirub�","4310009","-28.630199999990","-53.096100000000","78","360","540","583","1.044","3.150","7.920","4.142","7.050","17.400","69.040","280","818","2.026","8.987","177","5.085","28.408","267.933","2.222","42","86","13","74","92","27","22","26","57","89","50","8","15","15","14","12","13","6","42","38","20","12","12","14","42","-","-","-"
"Igrejinha","4310108","-29.569299999990","-50.791899999990","216","90","115","308","552","680","480","1.656","1.612","4.080","9.870","27","48","314","1.323","92","399","1.825","19.032","478","4","6","4","5","6","7","7","3","5","7","21","2","3","3","4","5","3","3","2","2","1","1","-","-","-","-","-","3"
"Iju�","4310207","-28.388100000000","-53.920000000000","247","675","720","400","440","1.301","2.850","7.267","8.795","17.222","96.030","281","1.161","4.152","24.511","231","8.290","10.202","346.640","9.959","44","25","41","44","62","67","30","38","57","107","76","2","33","41","67","23","39","18","4","18","19","11","-","-","-","-","-","-"
"Il�polis","4310306","-28.928200000000","-52.125799999990","112","130","283","221","296","330","1.026","2.100","2.650","7.381","18.532","71","277","362","1.872","50","2.552","1.703","84.700","1.150","13","25","3","4","0","1","1","1","1","2","2","1","1","1","2","2","4","2","2","2","2","2","3","2","2","2","2","5"
"Imb�","4310330","-29.975300000000","-50.128100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","98","4.175","33.875","184.800","2.640","28","58","130","132","148","158","126","143","188","332","292","264","227","237","-","-","-","-","-","-","-","-","-","-","-","-","...","-"
"Imigrante","4310363","-29.350800000000","-51.774700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","7","396","3.212","22.352","168","4","8","5","1","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Independ�ncia","4310405","-27.835400000000","-54.188600000000","168","580","720","480","500","490","873","2.262","2.952","3.267","10.416","41","60","1.162","7.019","37","2.633","17.663","856.433","19.457","186","77","60","103","113","113","95","127","170","266","229","37","60","41","23","-","-","17","17","16","22","22","26","30","21","26","-","-"
"Inhacor�","4310413","-27.875200000000","-54.015000000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","325","5","7","14","5","13","6","8","5","8","11","8","3","4","7","4","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ip�","4310439","-28.817100000000","-51.285899999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","16","864","2.027","27.720","103","4","3","5","3","3","5","4","4","5","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ipiranga do Sul","4310462","-27.940400000000","-52.427100000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","11","486","455","32.292","673","7","10","10","11","12","2","2","2","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ira�","4310504","-27.195100000000","-53.254300000000","39","403","581","327","78","58","480","3.834","8.400","11.220","39.120","225","522","350","3.028","79","4.368","0","106.875","2.616","24","46","14","11","14","10","15","12","12","40","23","25","25","26","22","50","13","12","6","7","8","12","4","13","3","4","4","9"
"Itaara","4310538","-29.601299999990","-53.772500000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itacurubi","4310553","-28.791300000000","-55.244700000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","2.898","31.439","304.910","3.768.677","78.667","2.497","3.926","2.670","3.983","4.284","4.291","3.474","4.418","3.150","4.438","10.975","5.333","4.355","4.370","7.384","6.559","6.583","4.382","5.260","3.140","4.086","4.459","4.708","4.842","3.985","5.934","5.154","8.922"
"Itapuca","4310579","-28.776800000000","-52.169300000000","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","744","27","18","9","6","4","4","2","2","1","1","2","-","1","1","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itaqui","4310603","-29.131000000000","-56.551499999990","83.491","190.570","214.445","196.830","356.051","387.666","1.708.135","3.319.680","6.328.839","15.690.787","66.387.200","231.863","422.280","1.193.097","12.264.405","82.720","4.593.060","26.927.082","273.842.128","4.748.521","58.516","70.052","71.424","45.169","60.138","104.680","80.368","91.668","144.598","150.745","207.083","152.546","179.683","142.855","266.709","268.577","229.725","237.744","273.215","374.092","398.493","395.707","353.648","453.338","429.729","381.139","497.000","855.160"
"Itati","4310652","-29.488320000000","-50.113579999990","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","9","4","8","7","6","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Itatiba do Sul","4310702","-27.384599999990","-52.453800000000","315","1.104","1.620","1.714","773","-","2.310","1.598","2.195","5.246","11.350","37","64","64","653","11","462","-","17.865","486","4","9","11","7","3","5","5","5","1","8","4","-","4","4","6","1","1","3","-","-","-","-","-","-","-","-","-","-"
