"Municipio","ibge","latitude","longitude","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1974 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1975 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1976 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1977 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1978 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1979 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1980 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1981 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1982 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1983 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1984 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1985 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1986 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1987 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1988 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1989 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1990 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1991 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1992 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1993 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1994 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1995 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1996 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1997 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1998 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 1999 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2000 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2001 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2002 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2003 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2004 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2005 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2006 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2007 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2008 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2009 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2010 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2011 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2012 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2013 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2014 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2015 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2016 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2017 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2018 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2019 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2020 (kg/ha)","/Agricultura/Culturas Tempor�rias/Arroz/Rendimento M�dio 2021 (kg/ha)"
"Marat�","4311791","-29.545700000000","-51.557299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.571","1.571","1.571","1.556","2.571","2.571","2.500","2.500","2.500","2.500","2.500","2.500","1.800","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","-","-","-","-","-","-"
"Marau","4311809","-28.449800000000","-52.198599999990","900","1.360","1.897","1.667","1.500","455","2.037","997","632","1.624","2.393","2.014","1.531","1.630","1.357","1.929","1.875","1.280","2.250","2.429","2.114","2.400","1.893","2.200","2.200","1.960","2.600","2.400","2.400","2.400","2.000","-","2.400","2.400","2.400","2.100","2.500","2.500","-","-","-","-","-","-","-","-","-","-"
"Marcelino Ramos","4311908","-27.467600000000","-51.909500000000","660","1.600","1.600","1.000","-","200","2.000","1.000","600","1.200","1.200","1.200","900","900","1.325","3.000","3.000","-","2.500","2.500","2.500","2.500","1.000","1.000","1.800","1.800","1.800","1.800","1.200","1.800","920","-","2.000","3.000","1.200","480","1.500","2.300","857","-","-","-","-","-","-","-","-","-"
"Mariana Pimentel","4311981","-30.353100000000","-51.580300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.494","4.993","5.190","4.500","4.977","3.983","4.984","4.984","4.984","4.984","4.984","4.984","4.484","5.385","5.782","6.482","6.418","6.420","6.422","6.570","6.737","6.737","6.364","6.364","6.413","6.413","5.570","6.000","7.500"
"Mariano Moro","4312005","-27.356800000000","-52.146700000000","800","1.192","1.900","1.500","-","200","2.000","733","500","1.200","1.200","1.200","1.200","600","1.200","1.813","2.000","-","2.000","2.000","2.000","2.000","1.727","2.000","2.480","2.520","2.480","2.000","333","2.533","1.000","533","1.200","1.200","900","333","1.500","1.500","1.000","-","-","-","-","-","-","-","-","-"
"Marques de Souza","4312054","-29.331099999990","-52.097299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.526","1.526","1.474","1.474","1.526","1.526","1.500","1.250","-","1.250","1.250","1.250","1.200","1.250","1.200","750","1.500","-","-","-","-","-","-","-","-"
"Mata","4312104","-29.564900000000","-54.464100000000","3.200","3.626","3.539","3.599","3.600","3.595","3.500","4.200","4.300","3.595","5.850","5.851","2.840","4.800","4.537","4.788","4.758","4.854","4.962","5.457","3.975","4.987","5.500","4.987","4.750","5.500","5.500","5.500","5.500","4.760","5.600","6.149","6.000","6.000","6.000","6.500","6.000","7.319","7.000","7.000","7.000","6.500","6.900","7.470","7.000","5.000","7.242","7.200"
"Mato Castelhano","4312138","-28.280000000000","-52.193199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.977","2.100","2.400","1.043","1.467","1.688","1.667","2.750","3.000","3.533","3.533","3.300","2.385","3.400","3.200","3.200","3.200","3.200","3.200","3.400","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.000"
"Mato Leit�o","4312153","-29.528500000000","-52.127800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.533","1.540","1.560","-","1.550","1.550","1.550","1.550","-","-","1.667","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mato Queimado","4312179","-28.247500000000","-54.619199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.667","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Maximiliano de Almeida","4312203","-27.632500000000","-51.802100000000","1.200","1.208","1.900","2.105","333","200","2.000","945","480","1.200","1.200","1.500","500","800","1.300","1.500","1.500","-","1.200","1.200","1.200","1.200","1.500","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","1.200","2.500","2.500","2.500","2.500","2.500","2.500","2.500","2.500","-","-","-","-","-","-","-"
"Minas do Le�o","4312252","-30.134599999990","-52.042299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","3.800","3.800","3.281","5.100","5.100","5.300","5.300","4.540","4.540","4.000","5.500","4.500","5.500","5.500","5.800","6.000","5.500","6.500","7.000","7.400","6.100","7.300","6.700","7.836","8.000","7.042","7.000","7.000"
"Miragua�","4312302","-27.497000000000","-53.689100000000","1.200","1.800","1.800","1.800","813","100","1.800","1.800","900","1.200","1.650","1.300","900","1.200","725","1.800","1.800","600","2.000","1.670","1.670","1.750","964","1.375","1.375","1.375","1.375","1.000","800","1.000","1.000","1.600","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Montauri","4312351","-28.646200000000","-52.076700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","-","2.304","2.304","2.304","2.304","1.778","1.800","1.833","1.833","-","-","-","-","-","-","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Alegre dos Campos","4312377","-28.680499999990","-50.783400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Monte Belo do Sul","4312385","-29.160699999990","-51.633299999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.375","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Montenegro","4312401","-29.682400000000","-51.467900000000","2.301","3.069","2.755","2.500","2.500","1.835","3.194","2.356","2.131","3.606","3.828","3.828","2.911","2.567","2.517","2.765","2.875","3.813","3.825","3.869","3.869","3.869","3.869","3.751","4.868","4.815","4.904","4.904","4.904","4.904","4.885","3.900","4.937","4.937","4.937","4.937","4.937","4.600","4.600","4.600","4.600","4.600","4.600","6.100","7.551","7.550","6.500","7.800"
"Morma�o","4312427","-28.696800000000","-52.699900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.400","2.400","2.400","831","1.500","1.500","1.500","1.500","1.700","1.500","1.800","1.500","-","1.800","2.000","2.000","2.000","2.500","-","-","-","-","-","-","-","-","-","-","-"
"Morrinhos do Sul","4312443","-29.357800000000","-49.932800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.137","4.059","4.059","4.450","4.500","3.123","3.123","4.450","4.495","4.990","6.472","6.827","6.450","6.449","6.000","6.500","6.500","6.500","6.500","6.500","6.750","6.500","6.600","6.600","6.700","6.550","6.583","6.594","6.592"
"Morro Redondo","4312450","-31.588699999990","-52.626100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.067","1.800","1.800","1.800","1.800","1.800","1.800","-","-","-","-","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Morro Reuter","4312476","-29.537900000000","-51.081099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.000","1.000","1.000","714","1.000","800","1.400","1.400","1.400","1.333","1.333","1.333","333","1.333","1.333","1.333","1.333","1.333","1.333","1.000","1.333","1.333","1.333","1.333","1.333","1.333","1.667","2.000","1.667"
"Mostardas","4312500","-31.105399999990","-50.916699999990","3.501","3.697","3.671","3.800","3.851","3.604","4.000","4.042","4.650","4.200","4.670","4.800","4.600","4.600","4.500","4.247","4.080","4.500","4.000","4.500","4.200","4.700","4.600","4.300","4.000","4.900","4.571","4.800","5.000","4.800","5.533","5.698","5.900","6.219","6.000","6.720","5.742","6.440","6.730","6.836","6.793","6.700","5.800","6.800","6.300","6.700","7.140","7.800"
"Mu�um","4312609","-29.163000000000","-51.871400000000","1.500","1.500","2.111","1.400","1.400","300","1.600","1.109","573","950","1.100","1.000","700","892","927","927","900","-","900","1.000","1.000","1.000","896","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Muitos Cap�es","4312617","-28.313199999990","-51.183599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.708","1.700","1.700","1.700","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Muliterno","4312625","-28.325299999990","-51.769700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","800","600","-","1.300","1.300","1.700","1.720","1.720","1.700","-","1.800","2.100","2.167","2.167","2.000","2.000","-","-","-","-","-","-","-","-","-","-"
"N�o-Me-Toque","4312658","-28.454799999990","-52.818199999990","1.200","2.160","2.000","2.000","1.000","500","1.800","1.219","1.100","1.300","900","800","300","1.200","400","2.200","2.200","200","1.600","1.613","1.600","1.600","1.200","1.600","1.600","1.600","1.600","2.000","1.500","1.500","1.500","800","1.500","1.500","1.625","1.600","-","-","-","-","-","-","-","-","-","-","-","-"
"Nicolau Vergueiro","4312674","-28.529800000000","-52.467599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.333","2.294","2.500","2.000","3.000","2.357","1.929","2.107","2.286","2.115","2.115","1.800","-","1.800","2.083","2.125","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-"
"Nonoai","4312708","-27.368900000000","-52.775599999990","1.200","2.460","1.636","1.500","357","150","900","1.000","700","780","1.250","1.180","900","575","720","1.199","1.200","-","2.000","2.000","1.500","1.500","1.250","1.250","1.200","1.200","1.500","1.500","600","1.800","1.500","-","1.792","1.792","1.800","1.200","1.800","1.800","1.200","1.667","1.667","1.500","-","-","-","-","-","-"
"Nova Alvorada","4312757","-28.682200000000","-52.163100000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.400","1.400","144","1.700","1.700","1.700","2.000","1.500","1.300","1.500","1.500","1.600","2.100","2.125","2.125","2.125","600","1.500","2.000","2.000","-","-","-","-","-","-","-","-","2.000","2.500","2.000","-","-"
"Nova Ara��","4312807","-28.653700000000","-51.745800000000","1.520","1.520","1.481","1.765","1.286","591","1.500","1.500","500","1.182","1.500","1.500","1.000","1.600","1.000","1.500","1.520","160","1.520","1.500","1.500","1.500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Bassano","4312906","-28.729099999990","-51.707200000000","1.500","1.500","1.667","1.744","1.300","600","1.504","1.495","852","1.200","1.500","1.500","1.000","1.500","800","2.000","1.500","200","1.500","1.500","1.500","1.500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Boa Vista","4312955","-27.992599999990","-52.978400000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.783","1.783","1.783","2.375","1.826","1.800","1.800","1.800","1.800","1.800","1.800","1.800","600","1.800","1.800","1.800","1.250","1.500","-","-","-","-","-","-","-","-","2.000","2.000","2.000"
"Nova Br�scia","4313003","-29.218200000000","-52.031900000000","1.500","1.496","2.533","1.600","1.600","1.500","2.000","1.920","1.080","1.300","1.296","1.400","800","1.200","1.200","2.505","1.419","-","1.400","1.400","1.700","1.711","1.000","1.700","1.700","1.700","1.700","1.667","1.667","1.667","1.750","1.750","1.750","1.750","1.250","2.000","2.000","2.000","1.000","2.000","2.000","-","-","-","-","-","-","-"
"Nova Candel�ria","4313011","-27.613700000000","-54.107399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Esperan�a do Sul","4313037","-29.406600000000","-54.829300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.029","3.971","5.000","5.500","5.300","4.500","4.500","4.800","5.000","5.000","5.400","5.000","5.500","5.500","4.500","6.000","6.500","6.000","5.700","6.300","6.000","5.400","8.000","7.000","7.000","7.500","7.503","6.250","8.000","8.000","6.120","7.500","7.500"
"Nova Hartz","4313060","-29.580700000000","-50.905099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.375","2.375","4.000","3.176","2.000","1.200","1.200","909","1.200","1.200","1.182","1.182","1.182","1.182","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","1.200","-","-","-","1.000","1.000","1.000","-"
"Nova P�dua","4313086","-29.027500000000","-51.309800000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.700","1.700","1.700","-","1.700","1.500","1.500","1.500","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Palma","4313102","-29.471000000000","-53.468899999990","1.200","1.200","2.400","2.400","2.400","2.025","2.400","2.182","1.714","1.629","1.714","2.000","-","1.200","2.429","1.414","1.327","3.200","5.063","5.167","5.200","5.250","5.300","5.471","5.471","6.466","5.883","5.900","6.387","7.382","7.306","6.000","6.000","6.503","6.503","6.503","5.000","6.500","7.500","7.000","7.000","7.000","7.000","7.000","7.000","7.000","8.000","9.000"
"Nova Petr�polis","4313201","-29.374099999990","-51.113500000000","1.200","1.600","1.579","1.200","1.200","1.200","1.200","1.199","800","800","800","1.000","600","800","600","550","1.000","700","1.000","875","875","875","895","875","900","900","900","900","875","1.250","1.250","500","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-"
"Nova Prata","4313300","-28.779900000000","-51.611300000000","1.500","1.875","1.594","1.745","1.300","600","1.500","1.500","900","1.200","1.500","1.500","1.000","1.500","1.200","1.500","1.500","100","1.200","1.200","1.200","1.200","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","-","-","-","-","-","-","-","-","2.000","2.000","-","-","-","-","-","-","-","-"
"Nova Ramada","4313334","-28.066700000000","-53.699199999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.267","3.182","2.727","1.600","2.091","2.257","2.771","2.400","1.500","1.800","1.800","1.800","2.231","2.625","3.000","-","-","-","-","-","-","-","-","-","-"
"Nova Roma do Sul","4313359","-28.988199999990","-51.409500000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","500","2.000","2.000","2.000","2.000","1.000","1.500","1.500","1.500","1.500","1.600","1.600","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nova Santa Rita","4313375","-29.852499999990","-51.283700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.250","4.700","4.700","4.700","4.700","4.000","4.000","4.000","4.000","4.000","4.000","4.000","4.500","4.500","5.300","6.500","6.500","6.500","6.200","7.000","7.000","7.000","7.000","6.659","6.825","7.000","6.942","6.922","6.896"
"Novo Barreiro","4313490","-27.907699999990","-53.110300000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.000","2.000","2.000","1.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","2.000","1.600","2.000","2.000","2.000","2.000","2.000","2.000","1.000","-","-","-","-","-","-","-","-","-"
"Novo Cabrais","4313391","-29.733799999990","-52.948900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.277","4.989","5.988","5.975","4.981","4.351","4.474","6.132","6.642","6.726","6.728","6.780","7.098","6.099","7.130","6.316","7.600","6.363","7.300","6.900","7.473","7.200","7.700","6.480","8.500"
"Novo Hamburgo","4313409","-29.687600000000","-51.132800000000","1.600","2.556","1.875","1.600","1.400","1.056","1.667","1.143","1.400","1.278","1.512","1.886","1.100","2.250","1.867","1.000","1.000","4.000","4.500","4.365","-","-","1.667","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Machado","4313425","-27.576499999990","-54.503599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.200","1.200","1.313","1.214","1.500","1.857","1.857","1.857","1.857","1.857","1.857","1.857","429","1.200","1.200","1.200","-","-","1.200","1.200","1.200","2.000","2.000","2.000","-","2.000","2.000","-","-"
"Novo Tiradentes","4313441","-27.564900000000","-53.183700000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.400","2.600","2.600","2.000","1.000","2.600","2.600","2.600","2.600","2.600","2.600","2.600","1.800","2.000","2.000","2.000","2.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Novo Xingu","4313466","-27.743099999990","-53.061599999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.667","2.000","2.000","667","2.000","2.000","1.667","1.250","1.500","-","-","-","-","-","-","-","-","-","-","-"
"Os�rio","4313508","-29.888100000000","-50.266700000000","3.911","3.453","3.463","3.500","3.496","3.258","4.190","4.424","4.844","3.983","4.679","4.976","4.980","4.691","4.700","4.721","3.805","4.724","4.718","4.920","4.990","4.990","4.987","5.000","4.240","4.987","4.987","4.483","4.990","4.990","5.286","5.224","5.240","5.240","6.000","6.000","5.500","6.000","7.108","7.500","7.500","7.429","6.300","6.500","6.500","6.810","6.800","6.800"
"Paim Filho","4313607","-27.707500000000","-51.762999999990","903","1.945","1.500","2.000","333","200","2.000","660","638","1.200","1.200","1.200","600","1.200","1.200","1.500","1.800","-","2.500","1.500","1.500","1.500","1.400","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","-","1.500","1.467","1.533","1.600","1.600","1.600","1.600","1.600","1.500","-","-","-","-","-","-","-"
"Palmares do Sul","4313656","-30.253499999990","-50.510300000000","-","-","-","-","-","-","-","-","-","3.800","4.699","4.900","4.900","5.000","5.000","4.332","5.100","4.750","4.950","4.600","4.000","4.752","5.050","4.200","4.100","5.700","4.800","4.800","5.000","4.720","4.890","5.458","6.009","6.131","6.146","6.400","6.400","6.158","6.963","6.852","6.987","6.077","5.000","7.000","6.090","7.020","7.200","7.400"
"Palmeira das Miss�es","4313706","-27.900600000000","-53.313400000000","1.000","2.450","2.309","1.800","500","360","2.000","1.040","600","1.200","1.200","803","1.009","1.435","696","2.053","2.053","444","2.105","2.238","2.233","1.763","900","2.000","1.800","1.800","1.800","1.801","1.801","1.801","1.801","1.372","2.286","2.286","2.286","2.000","2.286","-","-","-","-","-","-","-","-","-","-","-"
"Palmitinho","4313805","-27.359600000000","-53.558000000000","1.500","2.000","2.000","1.300","-","-","2.000","1.200","700","600","1.000","1.000","900","1.200","650","1.300","2.500","-","1.500","1.500","1.500","1.500","1.104","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","1.500","-","-","-","-","-","-","-","1.000","1.000","1.000"
"Panambi","4313904","-28.283300000000","-53.502299999990","1.500","2.500","3.000","3.000","800","1.500","2.500","1.602","1.781","2.328","3.091","2.955","2.182","757","1.800","2.940","2.333","-","2.764","2.500","2.500","2.500","1.391","2.000","2.500","2.120","1.920","1.920","1.520","2.000","2.000","400","1.550","1.800","900","1.800","1.500","1.500","-","-","-","-","-","-","-","-","-","-"
"Pantano Grande","4313953","-30.190100000000","-52.372900000000","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.500","5.500","4.600","5.150","5.150","3.600","5.000","5.000","5.000","4.000","5.200","5.200","4.800","4.650","4.000","5.500","5.750","6.000","6.000","6.500","7.000","5.500","7.000","7.600","7.100","6.700","7.000","7.060","7.500","7.500","8.500","8.500","9.500"
"Para�","4314001","-28.596399999990","-51.789600000000","1.500","1.500","1.600","1.741","1.300","604","1.505","1.500","868","1.200","1.500","1.500","1.000","1.600","1.000","1.505","1.505","200","1.500","1.500","1.500","1.514","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","1.000","-","1.000","1.000","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Para�so do Sul","4314027","-29.671700000000","-53.143999999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","7.389","5.402","5.500","5.402","5.402","4.289","5.373","5.373","5.422","4.388","6.484","5.487","5.488","5.991","5.294","6.417","6.097","6.700","6.728","7.538","7.341","6.079","7.580","6.834","7.603","6.850","7.143","6.800","7.841","8.000","7.500","7.500","7.250"
"Pareci Novo","4314035","-29.636500000000","-51.397399999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.333","1.333","1.333","1.000","1.333","1.333","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Parob�","4314050","-29.624300000000","-50.831200000000","-","-","-","-","-","-","-","-","-","1.714","2.865","4.167","3.400","3.514","-","2.150","2.150","2.333","2.333","2.333","1.800","1.800","1.500","1.800","1.200","1.000","-","-","2.000","4.000","4.000","528","4.056","4.056","4.056","4.833","4.903","4.115","3.909","7.182","7.676","-","-","-","-","-","-","-"
"Passa Sete","4314068","-29.457699999990","-52.959899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.800","1.800","1.500","1.500","1.800","1.800","1.800","900","600","1.800","1.800","-","3.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Passo do Sobrado","4314076","-29.748000000000","-52.274799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","4.000","3.500","3.859","3.975","4.387","4.421","4.465","3.976","3.965","5.352","4.131","5.066","4.546","5.344","5.344","6.000","5.864","4.992","6.500","6.500","6.500","6.500","6.500","6.200","7.231","7.480","7.400","7.751","7.500"
"Passo Fundo","4314100","-28.257600000000","-52.409100000000","1.250","1.741","2.338","1.383","600","300","2.000","1.200","1.105","1.442","1.333","1.333","833","2.071","1.191","2.059","2.160","1.533","2.184","2.213","2.213","2.213","1.443","1.394","1.853","1.200","1.500","2.400","1.500","2.100","1.500","600","1.800","2.100","2.100","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paulo Bento","4314134","-27.697800000000","-52.426099999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","1.750","875","1.250","750","-","2.000","2.000","1.500","1.000","-","-","-","-","-","-","-","-","-","-","-","-"
"Paverama","4314159","-29.548500000000","-51.733899999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","2.600","2.950","2.000","2.600","2.650","2.050","2.150","1.250","1.400","1.400","-","-","-","-","4.000","-","2.000","-","-","3.000","3.000","3.500","3.000","-","-","-","-","-","-","-","-","-","-"
"Pedras Altas","4314175","-31.721699999990","-53.583799999990","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","5.000","5.000","5.000","4.850","5.500","5.300","5.500","5.680","7.600","7.600","7.533","7.500","8.280","8.280","8.000","8.000","7.800","7.500","7.600","7.600","8.491"
"Pedro Os�rio","4314209","-31.864200000000","-52.818399999990","4.275","3.879","3.659","4.000","4.000","3.140","3.600","4.800","4.800","3.800","4.500","4.500","4.500","3.200","5.500","6.000","5.000","5.000","3.500","5.000","5.000","5.200","5.360","4.000","5.350","5.500","4.840","5.500","4.800","5.500","6.000","5.100","6.000","6.000","6.500","7.221","7.000","7.974","7.900","7.570","7.916","8.550","7.791","8.950","7.900","8.639","9.676","10.000"
